T000001 Cream,Bagels,Oranges,Nuts,Soda
T000002 Donuts,Cheese,Lettuce,Frozen_Vegetables,Yogurt,Dish_Soap
T000003 Donuts,Apples
T000004 Chocolate_Syrup,Ice_Cream,Paper_Towels,Frozen_Pizza,Trash_Bags,Cookies,Cream,Bananas
T000005 Lettuce,Bananas,Cream,Turkey
T000006 Ice_Cream,Fish,Dish_Soap,Butter,Frozen_Dinners,Frozen_Pizza
T000007 Vegetables,Chicken,Bread,Muffins,Chips,Toothpaste,Tomatoes,Cheese,Butter,Frozen_Pizza
T000008 Frozen_Dinners,Deodorant
T000009 Tomatoes,Beef,Lettuce,Yogurt,Detergent
T000010 Bananas,Cereal,Trash_Bags,Dish_Soap
T000011 Tomato_Sauce,Cheese,Chips,Frozen_Vegetables,Chocolate,Paper_Towels,Beef,Detergent,Pork
T000012 Cream,Frozen_Dinners,Nuts,Paper_Towels,Dish_Soap
T000013 Juice,Nuts,Shampoo
T000014 Chips,Salsa,Croissants,Frozen_Vegetables,Butter,Toothpaste
T000015 Detergent,Toothpaste,Bananas,Apples,Nuts,Tomatoes,Frozen_Pizza,Water
T000016 Tomato_Sauce,Cheese,Trash_Bags,Croissants,Juice,Tomatoes,Deodorant,Toothpaste,Muffins,Tea
T000017 Pork,Crackers,Chips,Trash_Bags,Shampoo,Deodorant
T000018 Water,Deodorant,Croissants,Chicken,Bananas,Paper_Towels
T000019 Cheese,Oranges,Water
T000020 Milk,Bananas,Croissants,Crackers,Soda,Nuts,Trash_Bags,Frozen_Pizza
T000021 Chips,Dip,Cream,Crackers,Chicken
T000022 Detergent,Donuts,Yogurt
T000023 Tomatoes,Frozen_Vegetables,Tea,Donuts,Muffins,Detergent
T000024 Beef,Lettuce,Nuts,Muffins,Frozen_Dinners
T000025 Chicken,Turkey,Bagels,Frozen_Dinners,Tomatoes,Juice,Pork
T000026 Milk,Cookies,Nuts,Tea,Paper_Towels
T000027 Detergent,Donuts,Frozen_Pizza,Soap,Chicken
T000028 Fish,Deodorant,Cheese,Trash_Bags,Muffins,Bagels,Coffee,Milk
T000029 Chicken,Soap
T000030 Chips,Muffins,Water,Paper_Towels,Cookies,Lettuce,Trash_Bags,Beef
T000031 Chocolate_Syrup,Whipped_Cream,Chocolate,Toothpaste,Coffee,Yogurt,Cookies,Shampoo,Frozen_Vegetables
T000032 Tomatoes,Cream,Bread,Coffee,Juice,Frozen_Vegetables,Milk,Frozen_Pizza
T000033 Tomatoes,Bagels,Donuts,Soap,Turkey,Croissants
T000034 Cheese,Pasta,Muffins,Crackers,Shampoo
T000035 Bread,Frozen_Vegetables,Frozen_Pizza,Coffee,Dish_Soap,Tea
T000036 Croissants,Water,Bagels,Paper_Towels,Dish_Soap,Chicken,Cookies,Turkey
T000037 Toothpaste,Water,Frozen_Dinners,Apples,Bananas
T000038 Chips,Soda,Cream,Coffee,Butter,Paper_Towels,Bagels
T000039 Turkey,Lettuce
T000040 Turkey,Nuts,Muffins,Soap,Bananas,Ice_Cream,Coffee,Donuts
T000041 Toothpaste,Frozen_Pizza,Bread,Soap
T000042 Bread,Jelly,Cream,Juice,Crackers,Chicken
T000043 Milk,Donuts,Frozen_Vegetables,Bananas,Beef,Turkey
T000044 Toothpaste,Lettuce,Milk,Chocolate,Soda,Bagels
T000045 Soda,Chips,Cookies,Crackers
T000046 Whipped_Cream,Ice_Cream,Bagels,Dish_Soap,Milk,Toothpaste,Frozen_Pizza
T000047 Cream,Coffee,Bread,Frozen_Dinners,Croissants,Oranges,Cookies
T000048 Beef,Coffee
T000049 Peanut_Butter,Bread,Toothpaste,Frozen_Pizza,Coffee,Tomatoes,Cream,Tea,Shampoo
T000050 Ice_Cream,Cookies,Bananas
T000051 Sugar,Coffee,Cream,Detergent,Bread,Cheese,Butter,Turkey,Paper_Towels
T000052 Ice_Cream,Paper_Towels,Turkey,Nuts,Cheese,Shampoo,Pork
T000053 Chocolate_Syrup,Ice_Cream,Paper_Towels,Bagels,Frozen_Vegetables
T000054 Lettuce,Hamburger_Buns,Tomatoes,Juice,Soap,Ice_Cream
T000055 Bananas,Cheese,Turkey,Muffins,Lettuce
T000056 Butter,Detergent,Cookies,Dish_Soap,Yogurt,Bread,Paper_Towels
T000057 Chocolate_Syrup,Whipped_Cream,Crackers,Frozen_Vegetables,Yogurt,Trash_Bags,Chicken,Toothpaste
T000058 Donuts,Juice
T000059 Turkey,Butter,Beef,Dish_Soap
T000060 Cereal,Bananas,Deodorant,Frozen_Pizza,Soda,Nuts,Bread
T000061 Frozen_Vegetables,Frozen_Pizza,Bread,Oranges,Chips,Ice_Cream,Toothpaste,Muffins
T000062 Salsa,Beer,Soda,Cream,Croissants,Yogurt
T000063 Bagels,Cookies,Soap,Tea,Milk,Bread
T000064 Lettuce,Deodorant,Bananas,Detergent,Oranges,Pork,Bagels
T000065 Cookies,Fish,Soda,Cheese,Pork,Donuts,Cream
T000066 Cookies,Frozen_Dinners,Beef,Soap
T000067 Cream,Sugar,Tomatoes,Frozen_Pizza,Turkey,Toothpaste,Lettuce,Donuts
T000068 Cream,Turkey,Fish,Butter,Beef
T000069 Crackers,Detergent
T000070 Croissants,Milk,Donuts
T000071 Chips,Soda,Nuts,Frozen_Pizza,Shampoo,Cheese,Lettuce,Bread,Frozen_Dinners
T000072 Frozen_Pizza,Cookies,Shampoo,Muffins,Soda
T000073 Water,Ice_Cream,Croissants,Frozen_Pizza
T000074 Chocolate,Chips,Butter,Frozen_Pizza,Milk,Yogurt,Juice
T000075 Chips,Croissants,Trash_Bags,Bananas,Chocolate,Soap,Butter,Beef
T000076 Dip,Chips,Toothpaste,Chocolate,Dish_Soap,Trash_Bags,Fish,Cheese,Tea,Bagels
T000077 Frozen_Pizza,Cookies,Yogurt,Tea,Crackers,Bread
T000078 Chicken,Vegetables,Detergent,Turkey,Yogurt,Croissants,Frozen_Dinners,Deodorant
T000079 Butter,Milk,Fish,Ice_Cream,Trash_Bags,Cookies,Juice,Tomatoes,Turkey
T000080 Beer,Chips,Paper_Towels,Detergent
T000081 Apples,Muffins,Coffee,Ice_Cream,Tea,Cream,Shampoo
T000082 Beer,Salsa,Frozen_Pizza,Shampoo,Frozen_Dinners
T000083 Detergent,Cookies,Deodorant,Croissants,Soap
T000084 Bread,Butter,Deodorant,Beef,Cream,Apples,Milk
T000085 Croissants,Frozen_Pizza
T000086 Muffins,Milk
T000087 Chips,Chicken
T000088 Bananas,Cereal,Tomatoes,Detergent,Butter,Pork
T000089 Chicken,Soap,Bananas,Turkey
T000090 Milk,Cereal,Chicken,Ice_Cream,Frozen_Vegetables
T000091 Milk,Butter,Muffins,Bagels,Frozen_Dinners,Tomatoes,Cookies
T000092 Yogurt,Beef,Soap,Cookies,Fish
T000093 Coffee,Sugar,Pork,Apples,Yogurt,Tomatoes
T000094 Bananas,Cereal,Shampoo,Chicken,Tomatoes,Trash_Bags
