TransactionID,Items
T000001,"Cream,Paper_Towels,Nuts"
T000002,"Pasta,Cheese,Bread,Fish,Juice,Water,Detergent,Tea"
T000003,"Frozen_Dinners,Nuts,Oranges"
T000004,"Chicken,Shampoo,Frozen_Vegetables"
T000005,"Ice_Cream,Tomatoes,Donuts,Juice,Chicken,Bread"
T000006,"Frozen_Dinners,Frozen_Vegetables,Cookies"
T000007,"Bagels,Fish,Shampoo,Cheese,Oranges,Butter"
T000008,"Bread,Apples,Frozen_Pizza"
T000009,"Deodorant,Apples"
T000010,"Chocolate,Bagels,Cheese,Apples,Trash_Bags,Turkey"
T000011,"Apples,Soap,Tea"
T000012,"Coffee,Sugar,Frozen_Vegetables,Toothpaste,Pork,Oranges,Ice_Cream,Muffins"
T000013,"Bread,Jelly,Frozen_Dinners,Pork,Trash_Bags,Nuts,Turkey"
T000014,"Chicken,Dish_Soap,Chips,Detergent,Nuts,Bagels,Paper_Towels"
T000015,"Milk,Cereal,Trash_Bags,Cheese"
T000016,"Tea,Cookies,Dish_Soap,Shampoo,Beef"
T000017,"Tea,Dish_Soap,Water,Bread,Croissants"
T000018,"Bananas,Fish,Lettuce,Crackers"
T000019,"Chips,Dip,Paper_Towels,Bagels"
T000020,"Bread,Paper_Towels,Trash_Bags,Dish_Soap,Nuts"
T000021,"Cookies,Chicken,Dish_Soap,Croissants,Muffins,Pork,Bread"
T000022,"Cheese,Juice,Cookies"
T000023,"Donuts,Oranges,Deodorant,Bananas,Cream,Bread"
T000024,"Tomatoes,Beef,Lettuce,Ice_Cream,Deodorant"
T000025,"Bagels,Butter,Frozen_Pizza"
T000026,"Beef,Ice_Cream,Apples,Soap,Bananas,Muffins,Chocolate,Chicken"
T000027,"Cheese,Milk,Ice_Cream,Nuts,Deodorant,Frozen_Pizza"
T000028,"Frozen_Pizza,Frozen_Vegetables,Cookies,Ice_Cream,Tea,Water"
T000029,"Shampoo,Juice,Chicken,Bagels"
T000030,"Dip,Soda,Oranges,Water,Tea,Butter,Pork,Frozen_Pizza"
T000031,"Apples,Frozen_Pizza,Soap,Trash_Bags,Pork"
T000032,"Tomato_Sauce,Pasta,Soda,Frozen_Dinners"
T000033,"Deodorant,Nuts,Paper_Towels,Soda,Bananas,Tomatoes,Trash_Bags,Chocolate"
T000034,"Frozen_Vegetables,Nuts"
T000035,"Juice,Fish,Chocolate,Frozen_Dinners,Beef,Detergent,Muffins,Turkey"
T000036,"Paper_Towels,Frozen_Dinners,Apples,Cheese"
T000037,"Soap,Apples,Toothpaste,Chicken,Cream"
T000038,"Shampoo,Turkey,Yogurt,Frozen_Dinners,Detergent,Pork,Dish_Soap,Tea"
T000039,"Paper_Towels,Dish_Soap,Water,Croissants,Cream,Ice_Cream,Nuts"
T000040,"Muffins,Bananas,Tomatoes,Trash_Bags"
T000041,"Bananas,Cereal,Croissants,Dish_Soap,Yogurt,Muffins,Cream,Deodorant,Soda"
T000042,"Whipped_Cream,Chocolate_Syrup,Bananas,Ice_Cream,Detergent,Milk,Frozen_Dinners,Bagels,Paper_Towels,Butter"
T000043,"Cream,Ice_Cream,Soap,Fish,Oranges,Frozen_Vegetables,Tea"
T000044,"Cream,Paper_Towels,Frozen_Vegetables"
T000045,"Soap,Paper_Towels,Chicken,Juice"
T000046,"Pork,Ice_Cream,Chocolate,Bagels,Deodorant,Milk,Cheese"
T000047,"Cookies,Turkey,Soap,Bagels,Frozen_Dinners"
T000048,"Tomatoes,Apples,Frozen_Vegetables,Chicken,Shampoo,Soap"
T000049,"Soap,Nuts,Chocolate,Bagels"
T000050,"Deodorant,Butter,Soap"
T000051,"Beef,Croissants,Dish_Soap,Toothpaste,Milk"
T000052,"Dish_Soap,Soap"
T000053,"Frozen_Vegetables,Soda,Lettuce"
T000054,"Chips,Beer,Dish_Soap,Frozen_Pizza,Cheese,Tea,Turkey,Oranges,Bread,Apples"
T000055,"Trash_Bags,Butter,Juice"
T000056,"Chips,Dip,Fish,Trash_Bags,Cream,Bagels,Deodorant,Dish_Soap,Pork"
T000057,"Ice_Cream,Lettuce"
T000058,"Salsa,Beer,Paper_Towels,Donuts,Apples,Nuts,Frozen_Vegetables,Yogurt,Cream"
T000059,"Beer,Salsa,Oranges,Dish_Soap,Croissants,Muffins,Bananas,Ice_Cream,Deodorant,Chocolate"
T000060,"Cream,Butter,Apples,Nuts,Deodorant,Frozen_Vegetables,Water,Bagels"
T000061,"Ice_Cream,Chocolate_Syrup,Trash_Bags,Soap,Lettuce,Milk,Chocolate"
T000062,"Lettuce,Trash_Bags,Frozen_Vegetables,Juice,Deodorant,Soda,Muffins"
T000063,"Tomatoes,Frozen_Pizza,Croissants,Frozen_Dinners"
T000064,"Ice_Cream,Deodorant,Apples,Cookies,Trash_Bags,Tea"
T000065,"Dish_Soap,Tea,Shampoo"
T000066,"Tomatoes,Lettuce,Beef,Trash_Bags,Fish,Toothpaste"
T000067,"Soda,Pork,Shampoo,Tomatoes,Croissants,Butter"
T000068,"Vegetables,Rice,Cream,Coffee,Paper_Towels,Chocolate,Nuts"
T000069,"Shampoo,Juice"
T000070,"Yogurt,Soda,Cheese,Crackers,Frozen_Pizza,Soap"
T000071,"Ice_Cream,Fish,Bagels,Trash_Bags,Deodorant,Cream,Cookies"
T000072,"Toothpaste,Cheese,Coffee,Donuts,Paper_Towels,Trash_Bags"
T000073,"Butter,Milk,Chicken,Detergent,Soap"
T000074,"Water,Juice,Turkey,Frozen_Dinners,Butter"
T000075,"Oranges,Nuts,Ice_Cream,Muffins"
T000076,"Shampoo,Dish_Soap,Frozen_Dinners,Deodorant,Yogurt,Donuts"
T000077,"Cheese,Ice_Cream,Detergent,Milk,Bread,Beef,Tea"
T000078,"Lettuce,Pork"
T000079,"Muffins,Juice,Donuts,Toothpaste"
T000080,"Bananas,Milk,Fish,Oranges,Pork"
T000081,"Coffee,Bread,Chips"
T000082,"Pork,Shampoo,Paper_Towels,Croissants,Juice,Coffee,Chocolate"
T000083,"Coffee,Chicken,Oranges,Shampoo"
T000084,"Deodorant,Fish,Paper_Towels,Apples,Dish_Soap,Donuts,Bagels"
T000085,"Beef,Detergent,Cheese"
T000086,"Cheese,Chocolate,Tea,Turkey"
T000087,"Cheese,Pasta,Water,Croissants,Tomatoes"
T000088,"Ice_Cream,Soap,Cream,Muffins,Tomatoes,Dish_Soap"
T000089,"Soap,Juice,Frozen_Vegetables,Tea"
T000090,"Cookies,Cheese,Water,Deodorant,Tomatoes,Pork"
T000091,"Detergent,Butter,Apples,Yogurt,Toothpaste"
T000092,"Coffee,Sugar,Dish_Soap,Bread,Juice,Muffins"
T000093,"Frozen_Vegetables,Shampoo,Toothpaste"
T000094,"Soap,Bananas,Tea,Apples,Soda,Cheese,Juice"
T000095,"Vegetables,Chicken,Juice,Pork"
T000096,"Tea,Dish_Soap,Butter,Toothpaste,Tomatoes,Lettuce"
T000097,"Detergent,Chocolate,Pork"
T000098,"Cookies,Bananas,Oranges,Milk"
T000099,"Sugar,Coffee,Muffins,Fish,Frozen_Pizza"
T000100,"Bananas,Juice,Milk,Toothpaste,Croissants"
T000101,"Sugar,Coffee,Frozen_Pizza,Apples,Butter,Bananas,Yogurt"
T000102,"Milk,Cereal,Cookies,Shampoo,Donuts,Bagels,Trash_Bags"
T000103,"Milk,Muffins,Croissants,Tomatoes"
T000104,"Frozen_Pizza,Juice,Chicken,Toothpaste,Cheese,Frozen_Vegetables,Coffee,Trash_Bags"
T000105,"Bananas,Milk,Frozen_Vegetables,Yogurt,Crackers,Paper_Towels,Fish,Tea"
T000106,"Coffee,Frozen_Vegetables,Trash_Bags,Tea"
